Added mass,&omega;=0.1 rad/m,&omega;=0.44 rad/m,&omega;=0.79 rad/m,&omega;=1.13 rad/m,&omega;=1.48 rad/m,&omega;=1.82 rad/m,&omega;=2.17 rad/m,&omega;=2.51 rad/m,&omega;=2.86 rad/m,&omega;=3.2 rad/m,&omega;=inf
-4.5,157260.0,163428.0,187059.0,208192.0,136981.0,47036.0,31952.0,51364.0,69831.0,79631.0,79631.0
-4.0,157260.0,163428.0,187059.0,208192.0,136981.0,47036.0,31952.0,51364.0,69831.0,79631.0,79631.0
-3.5,149613.0,155186.0,177671.0,206123.0,143753.0,45549.0,23831.0,39646.0,58340.0,69914.0,69914.0
-3.0,131423.0,134851.0,150273.0,178586.0,150941.0,66901.0,31875.0,35206.0,49023.0,61471.0,61471.0
-2.5,108061.0,108891.0,113830.0,131857.0,137455.0,97269.0,59006.0,45908.0,45584.0,55199.0,55199.0
-2.0,87888.0,87463.0,81805.0,82281.0,91051.0,92739.0,82837.0,71263.0,66736.0,63971.0,63971.0
-1.5,86805.0,87073.0,77049.0,68577.0,70457.0,77027.0,78962.0,75391.0,71381.0,68111.0,68111.0
-1.0,95037.0,96945.0,83321.0,65794.0,56724.0,56865.0,60852.0,62999.0,66179.0,66967.0,66967.0
-0.5,104221.0,107430.0,92906.0,71400.0,56564.0,51130.0,51886.0,53885.0,58119.0,60676.0,60676.0
0.0,118612.0,123518.0,108521.0,83721.0,63986.0,52905.0,48481.0,47207.0,48730.0,50413.0,50413.0
0.5,109395.0,114276.0,102224.0,80537.0,62041.0,50511.0,44834.0,42757.0,42842.0,43797.0,43797.0
1.0,100800.0,105629.0,96366.0,77870.0,60969.0,49395.0,42659.0,39185.0,37227.0,37778.0,37778.0
1.5,76756.0,80528.0,75041.0,62359.0,49755.0,40458.0,34545.0,31148.0,29310.0,28969.0,28969.0
2.0,56524.0,59381.0,56603.0,48578.0,39782.0,32736.0,27800.0,24602.0,22656.0,21496.0,21496.0
2.5,28883.0,30320.0,29645.0,26444.0,22331.0,18635.0,15791.0,13776.0,12440.0,11583.0,11583.0
3.0,12146.0,12711.0,12712.0,11829.0,10416.0,8925.0,7641.0,6629.0,5884.0,5355.0,5355.0
3.5,3581.0,3722.0,3788.0,3682.0,3418.0,3067.0,2705.0,2379.0,2105.0,1886.0,1886.0
4.0,445.0,456.0,469.0,472.0,464.0,446.0,420.0,389.0,357.0,326.0,326.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
