diffraction force,&omega;=0.1 rad/m,&omega;=0.44 rad/m,&omega;=0.79 rad/m,&omega;=1.13 rad/m,&omega;=1.48 rad/m,&omega;=1.82 rad/m,&omega;=2.17 rad/m,&omega;=2.51 rad/m,&omega;=2.86 rad/m,&omega;=3.2 rad/m
-4.5,-0.0,-75.0,-5429.0,-57415.0,-157535.0,-152786.0,-88570.0,-36196.0,-8592.0,978.0
-4.0,-0.0,-75.0,-5429.0,-57415.0,-157535.0,-152786.0,-88570.0,-36196.0,-8592.0,978.0
-3.5,-0.0,-13.0,-3485.0,-48996.0,-156942.0,-157715.0,-89840.0,-36250.0,-9371.0,-715.0
-3.0,-0.0,-28.0,-854.0,-24738.0,-103199.0,-120810.0,-68929.0,-22303.0,13853.0,3787.0
-2.5,-2.0,-312.0,-128.0,-2788.0,-26867.0,-40414.0,-13153.0,19019.0,35205.0,30325.0
-2.0,-4.0,-1161.0,-4410.0,-2729.0,7421.0,25162.0,48221.0,64549.0,60951.0,40867.0
-1.5,-6.0,-1997.0,-9912.0,-15702.0,-8538.0,11766.0,37144.0,56558.0,48767.0,27699.0
-1.0,-10.0,-3187.0,-18191.0,-38406.0,-47306.0,-38819.0,-18405.0,13928.0,7390.0,1597.0
-0.5,-11.0,-3837.0,-23068.0,-52777.0,-73547.0,-74683.0,-56935.0,-21446.0,-9689.0,380.0
0.0,-13.0,-4576.0,-28559.0,-69019.0,-103565.0,-116348.0,-101498.0,-62950.0,-20020.0,17701.0
0.5,-11.0,-3987.0,-25555.0,-63762.0,-98898.0,-115310.0,-105501.0,-69619.0,-29014.0,14406.0
1.0,-10.0,-3451.0,-22759.0,-58812.0,-94672.0,-115103.0,-111046.0,-80575.0,-33221.0,11957.0
1.5,-6.0,-2364.0,-16160.0,-43621.0,-73427.0,-93800.0,-96891.0,-79490.0,-43871.0,-7780.0
2.0,-4.0,-1539.0,-10946.0,-31082.0,-55147.0,-74527.0,-82734.0,-75911.0,-53956.0,-21101.0
2.5,-2.0,-647.0,-4855.0,-14819.0,-28336.0,-41386.0,-50393.0,-52794.0,-47341.0,-34213.0
3.0,-1.0,-210.0,-1662.0,-5487.0,-11407.0,-18168.0,-24231.0,-28367.0,-29737.0,-27784.0
3.5,-0.0,-42.0,-354.0,-1272.0,-2913.0,-5129.0,-7582.0,-9880.0,-11733.0,-12871.0
4.0,-0.0,-3.0,-24.0,-93.0,-237.0,-473.0,-796.0,-1184.0,-1607.0,-2030.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
