Froude-Krylov force,&omega;=0.1 rad/m,&omega;=0.44 rad/m,&omega;=0.79 rad/m,&omega;=1.13 rad/m,&omega;=1.48 rad/m,&omega;=1.82 rad/m,&omega;=2.17 rad/m,&omega;=2.51 rad/m,&omega;=2.86 rad/m,&omega;=3.2 rad/m
-4.5,7639.0,-58504.0,-184729.0,-319248.0,-318034.0,-196472.0,-99152.0,-39851.0,-10036.0,1323.0
-4.0,7639.0,-58504.0,-184729.0,-319248.0,-318034.0,-196472.0,-99152.0,-39851.0,-10036.0,1323.0
-3.5,41799.0,-23235.0,-149926.0,-297554.0,-320774.0,-206803.0,-115428.0,-56853.0,-21426.0,-3089.0
-3.0,98801.0,37564.0,-81032.0,-224860.0,-290698.0,-222779.0,-144415.0,-85046.0,39674.0,-13223.0
-2.5,178602.0,122836.0,17366.0,-108113.0,-201086.0,-204056.0,-157055.0,-102824.0,-59845.0,-17827.0
-2.0,281133.0,230780.0,137934.0,34670.0,-49748.0,-90923.0,-86262.0,-54718.0,-8513.0,19417.0
-1.5,351416.0,303471.0,214281.0,115165.0,30875.0,-21985.0,-36916.0,-21321.0,9151.0,31306.0
-1.0,429376.0,382631.0,294243.0,195394.0,108231.0,44166.0,8415.0,632.0,5881.0,13787.0
-0.5,465239.0,420328.0,333745.0,234883.0,143433.0,68584.0,16408.0,-11319.0,-12787.0,-5047.0
0.0,502487.0,458772.0,372765.0,272329.0,174300.0,85188.0,11754.0,-35167.0,-50873.0,-35899.0
0.5,465680.0,428229.0,353267.0,263868.0,174497.0,90444.0,17767.0,-33980.0,-53650.0,-42814.0
1.0,430268.0,398669.0,334216.0,255573.0,174878.0,95987.0,23843.0,-31754.0,-58025.0,-53214.0
1.5,352866.0,329812.0,281815.0,221609.0,158803.0,96260.0,36899.0,-12997.0,-44590.0,-51642.0
2.0,283117.0,267161.0,233171.0,189146.0,142169.0,94287.0,46989.0,3792.0,-29266.0,-45055.0
2.5,181299.0,173148.0,155343.0,131211.0,104741.0,77514.0,50105.0,23427.0,-600.0,-18939.0
3.0,102039.0,98618.0,90977.0,80076.0,67578.0,54523.0,41225.0,27897.0,14873.0,2866.0
3.5,45377.0,44372.0,42090.0,38656.0,34464.0,29890.0,25166.0,20362.0,15531.0,10733.0
4.0,11351.0,11227.0,10944.0,10497.0,9911.0,9213.0,8443.0,7634.0,6803.0,5963.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
