Radiation force,&omega;=0.1 rad/m,&omega;=0.44 rad/m,&omega;=0.79 rad/m,&omega;=1.13 rad/m,&omega;=1.48 rad/m,&omega;=1.82 rad/m,&omega;=2.17 rad/m,&omega;=2.51 rad/m,&omega;=2.86 rad/m,&omega;=3.2 rad/m
-4.5,0.0,201.0,8943.0,81354.0,212319.0,195564.0,93917.0,23903.0,2216.0,-140.0
-4.0,0.0,201.0,8943.0,81354.0,212319.0,195564.0,93917.0,23903.0,2216.0,-140.0
-3.5,1.0,49.0,5962.0,70848.0,215491.0,213899.0,113863.0,37637.0,6703.0,-61.0
-3.0,5.0,56.0,1827.0,40516.0,161920.0,203765.0,136492.0,63981.0,21231.0,2440.0
-2.5,16.0,642.0,59.0,9891.0,71510.0,138932.0,133555.0,90984.0,51797.0,22407.0
-2.0,41.0,2462.0,4868.0,955.0,4161.0,27597.0,51028.0,56785.0,47890.0,35555.0
-1.5,64.0,4267.0,11703.0,10077.0,1596.0,1814.0,14472.0,28517.0,30875.0,30289.0
-1.0,96.0,6847.0,22269.0,29967.0,23410.0,10858.0,2375.0,304.0,1262.0,3108.0
-0.5,113.0,8262.0,28621.0,43703.0,43456.0,32193.0,18557.0,4354.0,3202.0,-36.0
0.0,132.0,9874.0,35828.0,59732.0,69034.0,65478.0,55186.0,43315.0,37016.0,27326.0
0.5,113.0,8609.0,32152.0,55764.0,67512.0,67557.0,60379.0,48407.0,47131.0,35129.0
1.0,97.0,7459.0,28735.0,52032.0,66347.0,70710.0,68226.0,61573.0,55088.0,51673.0
1.5,65.0,5112.0,20411.0,38609.0,51344.0,56833.0,56811.0,53288.0,46038.0,48964.0
2.0,41.0,3330.0,13847.0,27601.0,38713.0,45122.0,47572.0,47335.0,45315.0,40966.0
2.5,17.0,1400.0,6137.0,13101.0,19600.0,24102.0,26519.0,27324.0,26990.0,25892.0
3.0,5.0,454.0,2100.0,4836.0,7808.0,10293.0,11985.0,12942.0,13299.0,13233.0
3.5,1.0,92.0,447.0,1119.0,1980.0,2855.0,3606.0,4169.0,4541.0,4751.0
4.0,0.0,6.0,30.0,81.0,161.0,261.0,371.0,480.0,579.0,663.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
