Froude-Krylov force,&omega;=0.1 rad/m,&omega;=0.44 rad/m,&omega;=0.79 rad/m,&omega;=1.13 rad/m,&omega;=1.48 rad/m,&omega;=1.82 rad/m,&omega;=2.17 rad/m,&omega;=2.51 rad/m,&omega;=2.86 rad/m,&omega;=3.2 rad/m
-4.5,0.0,-46.0,-2643.0,-28557.0,-115210.0,-187607.0,-97932.0,37431.0,95012.0,87411.0
-4.0,0.0,-46.0,-2643.0,-28557.0,-115210.0,-187607.0,-97932.0,37431.0,95012.0,87411.0
-3.5,-0.0,-26.0,-1744.0,-24346.0,-139323.0,-197563.0,-35219.0,55805.0,78603.0,69231.0
-3.0,0.0,-5.0,-470.0,-10821.0,-99241.0,-142820.0,-61055.0,-6671.0,20258.0,25765.0
-2.5,-0.0,18.0,1137.0,13708.0,39110.0,-27407.0,-57372.0,-46650.0,-24674.0,-6873.0
-2.0,-0.0,40.0,2697.0,36691.0,159496.0,172349.0,75025.0,17271.0,-199.0,186.0
-1.5,-0.0,51.0,3493.0,46446.0,194753.0,234057.0,113987.0,17993.0,-18120.0,-6425.0
-1.0,0.0,55.0,3692.0,44963.0,164259.0,182743.0,46144.0,-90329.0,-152188.0,-136814.0
-0.5,0.0,49.0,3208.0,36912.0,123477.0,114348.0,-36306.0,-186974.0,-243982.0,-192131.0
0.0,0.0,39.0,2447.0,25252.0,66964.0,8904.0,-168395.0,-332321.0,-367751.0,-270742.0
0.5,-0.0,25.0,1554.0,16022.0,42557.0,-3479.0,-151353.0,-301168.0,-349225.0,-229209.0
1.0,0.0,14.0,869.0,8639.0,20334.0,-20737.0,-142131.0,-274102.0,-328645.0,-250127.0
1.5,0.0,6.0,402.0,4206.0,11426.0,-7924.0,-83198.0,-183225.0,-249563.0,-233745.0
2.0,-0.0,2.0,149.0,1581.0,4391.0,-4860.0,-46493.0,-112644.0,-171584.0,-189010.0
2.5,0.0,1.0,39.0,478.0,1954.0,1945.0,-8618.0,-35149.0,-70648.0,-100253.0
3.0,0.0,0.0,7.0,95.0,502.0,1235.0,673.0,-4486.0,-15943.0,-31188.0
3.5,-0.0,0.0,1.0,9.0,57.0,208.0,458.0,505.0,-362.0,-2762.0
4.0,-0.0,0.0,0.0,0.0,1.0,5.0,16.0,40.0,79.0,121.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
