Radiation force,&omega;=0.1 rad/m,&omega;=0.44 rad/m,&omega;=0.79 rad/m,&omega;=1.13 rad/m,&omega;=1.48 rad/m,&omega;=1.82 rad/m,&omega;=2.17 rad/m,&omega;=2.51 rad/m,&omega;=2.86 rad/m,&omega;=3.2 rad/m
-4.5,0.0,118.0,4266.0,38214.0,130379.0,155050.0,35337.0,5161.0,55946.0,66156.0
-4.0,0.0,118.0,4266.0,38214.0,130379.0,155050.0,35337.0,5161.0,55946.0,66156.0
-3.5,0.0,36.0,1495.0,17267.0,80487.0,75318.0,3471.0,12792.0,37811.0,42083.0
-3.0,0.0,1.0,93.0,2488.0,24673.0,33615.0,9804.0,141.0,2767.0,8382.0
-2.5,0.0,17.0,542.0,3597.0,3774.0,1317.0,9165.0,10955.0,7261.0,2797.0
-2.0,0.0,95.0,3644.0,36143.0,120538.0,100665.0,33155.0,5887.0,964.0,150.0
-1.5,0.0,193.0,7601.0,77818.0,277593.0,311239.0,165919.0,61647.0,17825.0,1524.0
-1.0,0.0,306.0,12176.0,123516.0,449501.0,650495.0,548082.0,376913.0,241338.0,156562.0
-0.5,0.0,347.0,13810.0,138307.0,508885.0,814159.0,794741.0,633283.0,461058.0,332827.0
0.0,0.0,356.0,14100.0,138155.0,507265.0,883476.0,1002154.0,953779.0,843150.0,852788.0
0.5,0.0,252.0,9984.0,98904.0,379911.0,714301.0,865232.0,861179.0,785307.0,620318.0
1.0,0.0,162.0,6444.0,64309.0,256713.0,522043.0,686793.0,732763.0,711463.0,651390.0
1.5,0.0,76.0,3052.0,31351.0,134175.0,303693.0,438210.0,496161.0,499970.0,474658.0
2.0,0.0,30.0,1198.0,12622.0,57339.0,144633.0,234037.0,289694.0,311881.0,314032.0
2.5,0.0,7.0,274.0,3020.0,15029.0,44297.0,85070.0,120043.0,140507.0,148920.0
3.0,0.0,1.0,42.0,479.0,2576.0,8705.0,20254.0,34547.0,46810.0,54761.0
3.5,0.0,0.0,3.0,37.0,209.0,787.0,2170.0,4629.0,7921.0,11283.0
4.0,0.0,0.0,0.0,0.0,3.0,12.0,37.0,93.0,202.0,380.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
