Added mass,&omega;=0.1 rad/m,&omega;=0.44 rad/m,&omega;=0.79 rad/m,&omega;=1.13 rad/m,&omega;=1.48 rad/m,&omega;=1.82 rad/m,&omega;=2.17 rad/m,&omega;=2.51 rad/m,&omega;=2.86 rad/m,&omega;=3.2 rad/m,&omega;=inf
-4.5,125364.0,130628.0,142652.0,158037.0,140958.0,72649.0,39606.0,53813.0,69130.0,76608.0,76608.0
-4.0,125364.0,130628.0,142652.0,158037.0,140958.0,72649.0,39606.0,53813.0,69130.0,76608.0,76608.0
-3.5,132509.0,139304.0,156511.0,185225.0,158434.0,11712.0,13070.0,47363.0,62749.0,69324.0,69324.0
-3.0,135292.0,143213.0,164559.0,205218.0,153354.0,-26830.0,3153.0,38325.0,54125.0,61094.0,61094.0
-2.5,131795.0,139869.0,162106.0,205330.0,147656.0,-23863.0,-8293.0,24222.0,42530.0,51583.0,51583.0
-2.0,119709.0,126487.0,144739.0,176768.0,145499.0,28815.0,-276.0,11428.0,26031.0,36618.0,36618.0
-1.5,104995.0,110558.0,125468.0,150769.0,131619.0,45834.0,8710.0,9188.0,18522.0,27138.0,27138.0
-1.0,87395.0,91417.0,101981.0,118714.0,109350.0,61137.0,28797.0,19105.0,19460.0,23595.0,23595.0
-0.5,69848.0,72671.0,80056.0,91640.0,87466.0,57908.0,33368.0,22550.0,19778.0,19717.0,19717.0
0.0,52839.0,54581.0,59062.0,65882.0,64252.0,49384.0,35115.0,27125.0,23625.0,20434.0,20434.0
0.5,38202.0,39302.0,42126.0,46668.0,46799.0,38286.0,28453.0,22146.0,18931.0,17661.0,17661.0
1.0,25901.0,26504.0,28033.0,30575.0,31213.0,27282.0,21761.0,17694.0,15320.0,14009.0,14009.0
1.5,16434.0,16759.0,17555.0,18951.0,19760.0,18221.0,15145.0,12443.0,10669.0,9603.0,9603.0
2.0,9343.0,9489.0,9821.0,10430.0,10944.0,10600.0,9391.0,8062.0,7058.0,6395.0,6395.0
2.5,4784.0,4844.0,4972.0,5219.0,5518.0,5593.0,5252.0,4643.0,4053.0,3602.0,3602.0
3.0,2015.0,2035.0,2073.0,2148.0,2255.0,2352.0,2347.0,2210.0,1988.0,1764.0,1764.0
3.5,597.0,601.0,608.0,621.0,641.0,668.0,693.0,700.0,680.0,637.0,637.0
4.0,75.0,75.0,76.0,77.0,78.0,79.0,81.0,84.0,86.0,88.0,88.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
