diffraction force,&omega;=0.1 rad/m,&omega;=0.44 rad/m,&omega;=0.79 rad/m,&omega;=1.13 rad/m,&omega;=1.48 rad/m,&omega;=1.82 rad/m,&omega;=2.17 rad/m,&omega;=2.51 rad/m,&omega;=2.86 rad/m,&omega;=3.2 rad/m
-4.5,-3399.0,-63909.0,-175872.0,-299114.0,-359548.0,-261649.0,-101844.0,-22081.0,-2127.0,594.0
-4.0,-3399.0,-63909.0,-175872.0,-299114.0,-359548.0,-261649.0,-101844.0,-22081.0,-2127.0,594.0
-3.5,-3459.0,-66046.0,-188855.0,-348644.0,-441669.0,-163563.0,-6451.0,1711.0,300.0,1484.0
-3.0,-3451.0,-66756.0,-196892.0,-387525.0,-475125.0,-83998.0,-1747.0,-2314.0,1544.0,6775.0
-2.5,-3347.0,-65251.0,-195742.0,-394374.0,-477108.0,-133388.0,-40964.0,-23574.0,-8182.0,4647.0
-2.0,-3109.0,-60670.0,-181257.0,-353153.0,-445732.0,-285587.0,-171167.0,-114171.0,-69111.0,-31171.0
-1.5,-2801.0,-54712.0,-163291.0,-313911.0,-404204.0,-311008.0,-211909.0,-143324.0,-81786.0,-30527.0
-1.0,-2426.0,-47277.0,-139747.0,-260652.0,-335446.0,-298675.0,-227703.0,-151800.0,-70548.0,4963.0
-0.5,-2022.0,-39372.0,-115859.0,-213479.0,-276709.0,-259855.0,-204370.0,-132217.0,-49962.0,17971.0
0.0,-1605.0,-31164.0,-90881.0,-164072.0,-210754.0,-202954.0,-159354.0,-92824.0,-14929.0,38180.0
0.5,-1212.0,-23560.0,-68858.0,-125182.0,-164900.0,-165006.0,-134487.0,-83351.0,-20126.0,36198.0
1.0,-861.0,-16732.0,-48889.0,-89026.0,-119298.0,-123393.0,-103926.0,-67323.0,-19712.0,24315.0
1.5,-567.0,-11048.0,-32482.0,-60056.0,-83522.0,-91343.0,-82279.0,-60371.0,-28723.0,5359.0
2.0,-334.0,-6525.0,-19266.0,-36007.0,-51539.0,-59305.0,-56904.0,-46030.0,-28258.0,-6614.0
2.5,-171.0,-3358.0,-10029.0,-19202.0,-28864.0,-35980.0,-38128.0,-35278.0,-28263.0,-17896.0
3.0,-72.0,-1424.0,-4299.0,-8410.0,-13161.0,-17626.0,-20626.0,-21455.0,-20146.0,-17087.0
3.5,-21.0,-424.0,-1294.0,-2579.0,-4169.0,-5906.0,-7549.0,-8812.0,-9461.0,-9453.0
4.0,-3.0,-53.0,-165.0,-334.0,-554.0,-816.0,-1107.0,-1414.0,-1713.0,-1980.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
