Froude-Krylov force,&omega;=0.1 rad/m,&omega;=0.44 rad/m,&omega;=0.79 rad/m,&omega;=1.13 rad/m,&omega;=1.48 rad/m,&omega;=1.82 rad/m,&omega;=2.17 rad/m,&omega;=2.51 rad/m,&omega;=2.86 rad/m,&omega;=3.2 rad/m
-4.5,-0.0,45.0,2584.0,27403.0,110483.0,194422.0,154821.0,68827.0,20044.0,4310.0
-4.0,-0.0,45.0,2584.0,27403.0,110483.0,194422.0,154821.0,68827.0,20044.0,4310.0
-3.5,-0.0,49.0,3092.0,40728.0,223767.0,339630.0,139050.0,29422.0,-3129.0,-7684.0
-3.0,0.0,51.0,3458.0,53598.0,339909.0,356913.0,125532.0,27591.0,-4343.0,-9408.0
-2.5,0.0,49.0,3474.0,56671.0,343072.0,357177.0,153577.0,50313.0,8702.0,-1747.0
-2.0,-0.0,42.0,2943.0,42979.0,208468.0,267140.0,151370.0,53654.0,-380.0,-19000.0
-1.5,0.0,34.0,2377.0,32905.0,146720.0,193559.0,108166.0,20902.0,-29724.0,-36759.0
-1.0,0.0,25.0,1697.0,20921.0,77846.0,88932.0,23239.0,-47640.0,-84499.0,-78293.0
-0.5,-0.0,18.0,1149.0,13277.0,44792.0,42049.0,-13629.0,-72112.0,-97581.0,-78582.0
0.0,0.0,11.0,679.0,6964.0,18338.0,2422.0,-45486.0,-89229.0,-98193.0,-72603.0
0.5,0.0,6.0,388.0,3986.0,10527.0,-856.0,-37067.0,-73498.0,-85019.0,-55592.0
1.0,-0.0,3.0,191.0,1891.0,4411.0,-4457.0,-30261.0,-57828.0,-68735.0,-51842.0
1.5,0.0,1.0,86.0,891.0,2403.0,-1654.0,-17242.0,-37713.0,-51052.0,-47550.0
2.0,0.0,0.0,30.0,314.0,865.0,-948.0,-8971.0,-21504.0,-32419.0,-35357.0
2.5,-0.0,0.0,8.0,104.0,421.0,416.0,-1829.0,-7397.0,-14747.0,-20761.0
3.0,-0.0,0.0,2.0,23.0,119.0,292.0,158.0,-1049.0,-3705.0,-7207.0
3.5,0.0,0.0,0.0,2.0,15.0,55.0,120.0,132.0,-95.0,-719.0
4.0,-0.0,0.0,0.0,0.0,0.0,1.0,5.0,12.0,23.0,36.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
