Radiation force,&omega;=0.1 rad/m,&omega;=0.44 rad/m,&omega;=0.79 rad/m,&omega;=1.13 rad/m,&omega;=1.48 rad/m,&omega;=1.82 rad/m,&omega;=2.17 rad/m,&omega;=2.51 rad/m,&omega;=2.86 rad/m,&omega;=3.2 rad/m
-4.5,0.0,116.0,4077.0,35177.0,120006.0,166905.0,89483.0,20452.0,2382.0,335.0
-4.0,0.0,116.0,4077.0,35177.0,120006.0,166905.0,89483.0,20452.0,2382.0,335.0
-3.5,0.0,124.0,4708.0,48364.0,208652.0,224065.0,50776.0,2600.0,25.0,684.0
-3.0,0.0,127.0,5125.0,60439.0,290919.0,213009.0,41237.0,2183.0,214.0,1281.0
-2.5,0.0,122.0,5077.0,62881.0,295177.0,231157.0,66782.0,11884.0,1030.0,358.0
-2.0,0.0,105.0,4334.0,49674.0,205848.0,241505.0,137618.0,64609.0,28869.0,11494.0
-1.5,0.0,86.0,3521.0,39120.0,157635.0,212725.0,150090.0,86086.0,45996.0,19785.0
-1.0,0.0,64.0,2572.0,26733.0,100891.0,153893.0,139143.0,104522.0,73898.0,52206.0
-0.5,0.0,44.0,1770.0,17900.0,66980.0,110095.0,111810.0,94035.0,73369.0,56227.0
0.0,0.0,28.0,1085.0,10502.0,38030.0,65315.0,73114.0,68754.0,60130.0,61140.0
0.5,0.0,16.0,624.0,6117.0,23237.0,43229.0,51886.0,51278.0,46538.0,36532.0
1.0,0.0,8.0,313.0,3079.0,12081.0,24113.0,31130.0,32610.0,31113.0,27983.0
1.5,0.0,3.0,138.0,1405.0,5930.0,13225.0,18807.0,21004.0,20902.0,19622.0
2.0,0.0,1.0,48.0,500.0,2230.0,5513.0,8734.0,10583.0,11158.0,11010.0
2.5,0.0,0.0,13.0,142.0,700.0,2031.0,3838.0,5328.0,6134.0,6396.0
3.0,0.0,0.0,2.0,27.0,146.0,487.0,1121.0,1891.0,2533.0,2929.0
3.5,0.0,0.0,0.0,3.0,15.0,55.0,150.0,318.0,540.0,765.0
4.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,8.0,18.0,33.0
4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
