time,wave [m],stroke [m],stroke speed [m/s],angle [deg],angular_speed [deg/s],F_PTO [N],Energy [J]
0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.004,0.0,0.0,0.0,0.005,0.0,0.0
0.02,0.004,0.0,0.0,0.0,0.009,0.0,0.0
0.03,0.004,0.0,0.0,0.0,0.014,0.0,0.0
0.04,0.003,0.0,0.0,0.0,0.018,0.0,0.0
0.05,0.003,0.0,0.0,0.001,0.023,0.0,0.0
0.06,0.003,0.0,0.0,0.001,0.028,0.0,0.0
0.07,0.002,0.0,0.0,0.001,0.033,0.0,0.0
0.08,0.002,0.0,0.0,0.001,0.038,0.0,0.0
0.09,0.001,0.0,0.0,0.002,0.043,0.0,0.0
0.1,0.001,0.0,0.0,0.002,0.048,0.0,0.0
0.11,0.001,0.0,0.0,0.003,0.053,0.0,0.0
0.12,0.0,0.0,0.0,0.003,0.058,0.0,0.0
0.13,-0.0,0.0,0.0,0.004,0.063,0.0,0.0
0.14,-0.001,0.0,0.0,0.005,0.068,0.0,0.0
0.15,-0.001,0.0,0.0,0.005,0.073,0.0,0.0
0.16,-0.001,0.0,0.0,0.006,0.078,0.0,0.0
0.17,-0.002,0.0,0.0,0.007,0.083,0.0,0.0
0.18,-0.002,0.0,0.0,0.008,0.089,0.0,0.0
0.19,-0.002,0.0,0.0,0.009,0.094,0.0,0.0
0.2,-0.003,0.0,0.0,0.01,0.099,0.0,0.0
0.21,-0.003,0.0,0.0,0.011,0.104,0.0,0.0
0.22,-0.003,0.0,0.0,0.012,0.11,0.0,0.0
0.23,-0.003,0.0,0.0,0.013,0.115,0.0,0.0
0.24,-0.003,0.0,0.0,0.014,0.12,0.0,0.0
0.25,-0.004,0.0,0.0,0.015,0.126,0.0,0.0
0.26,-0.004,0.0,0.0,0.017,0.131,0.0,0.0
0.27,-0.004,0.0,0.0,0.018,0.137,0.0,0.0
0.28,-0.004,0.0,0.0,0.019,0.142,0.0,0.0
0.29,-0.004,0.0,0.0,0.021,0.147,0.0,0.0
0.3,-0.004,0.0,0.0,0.022,0.153,0.0,0.0
0.31,-0.004,0.0,0.0,0.024,0.158,0.0,0.0
0.32,-0.004,0.0,0.0,0.025,0.164,0.0,0.0
0.33,-0.004,0.0,0.0,0.027,0.169,0.0,0.0
0.34,-0.003,0.0,0.0,0.029,0.175,0.0,0.0
0.35,-0.003,0.0,0.0,0.031,0.18,0.0,0.0
0.36,-0.003,0.0,0.0,0.032,0.185,0.0,0.0
0.37,-0.003,0.0,0.0,0.034,0.191,0.0,0.0
0.38,-0.002,0.0,0.0,0.036,0.196,0.0,0.0
0.39,-0.002,0.0,0.0,0.038,0.201,0.0,0.0
0.4,-0.001,0.0,0.0,0.04,0.207,0.0,0.0
0.41,-0.001,0.0,0.0,0.042,0.212,0.0,0.0
0.42,-0.0,0.0,0.0,0.044,0.217,0.0,0.0
0.43,0.0,0.0,0.0,0.047,0.222,0.0,0.0
0.44,0.001,0.0,0.0,0.049,0.228,0.0,0.0
0.45,0.002,0.0,0.0,0.051,0.233,0.0,0.0
0.46,0.002,0.0,0.0,0.054,0.238,0.0,0.0
0.47,0.003,0.0,0.0,0.056,0.243,0.0,0.0
0.48,0.004,0.0,0.0,0.058,0.248,0.0,0.0
0.49,0.005,0.0,0.0,0.061,0.253,0.0,0.0
0.5,0.006,0.0,0.0,0.063,0.258,0.0,0.0
0.51,0.007,0.0,0.0,0.066,0.263,0.0,0.0
0.52,0.008,0.0,0.0,0.069,0.268,0.0,0.0
0.53,0.009,0.0,0.0,0.071,0.272,0.0,0.0
0.54,0.01,0.0,0.0,0.074,0.277,0.0,0.0
0.55,0.011,0.0,0.0,0.077,0.282,0.0,0.0
0.56,0.013,0.0,0.0,0.08,0.286,0.0,0.0
0.57,0.014,0.0,0.0,0.083,0.291,0.0,0.0
0.58,0.015,0.0,0.0,0.086,0.295,0.0,0.0
0.59,0.017,0.0,0.0,0.089,0.299,0.0,0.0
0.6,0.018,0.0,0.0,0.092,0.304,0.0,0.0
0.61,0.02,0.0,0.0,0.095,0.308,0.0,0.0
0.62,0.021,0.0,0.0,0.098,0.312,0.0,0.0
0.63,0.023,0.0,0.0,0.101,0.316,0.0,0.0
0.64,0.025,0.0,0.0,0.104,0.32,0.0,0.0
0.65,0.026,0.0,0.0,0.107,0.324,0.0,0.0
0.66,0.028,0.0,0.0,0.111,0.327,0.0,0.0
0.67,0.03,0.0,0.0,0.114,0.331,0.0,0.0
0.68,0.032,0.0,0.0,0.117,0.334,0.0,0.0
0.69,0.034,0.0,0.0,0.121,0.338,0.0,0.0
0.7,0.036,0.0,0.0,0.124,0.341,0.0,0.0
0.71,0.037,0.0,0.0,0.127,0.344,0.0,0.0
0.72,0.039,0.0,0.0,0.131,0.347,0.0,0.0
0.73,0.041,0.0,0.0,0.134,0.35,0.0,0.0
0.74,0.044,0.0,0.0,0.138,0.353,0.0,0.0
0.75,0.046,0.0,0.0,0.141,0.356,0.0,0.0
0.76,0.048,0.0,0.0,0.145,0.358,0.0,0.0
0.77,0.05,0.0,0.0,0.149,0.361,0.0,0.0
0.78,0.052,0.0,0.0,0.152,0.363,0.0,0.0
0.79,0.054,0.0,0.0,0.156,0.365,0.0,0.0
0.8,0.056,0.0,0.0,0.159,0.367,0.0,0.0
0.81,0.059,0.0,0.0,0.163,0.369,0.0,0.0
0.82,0.061,0.0,0.0,0.167,0.371,0.0,0.0
0.83,0.063,0.0,0.0,0.171,0.372,0.0,0.0
0.84,0.065,0.0,0.0,0.174,0.374,0.0,0.0
0.85,0.067,0.0,0.0,0.178,0.375,0.0,0.0
0.86,0.07,0.0,0.0,0.182,0.376,0.0,0.0
0.87,0.072,0.0,0.0,0.186,0.377,0.0,0.0
0.88,0.074,0.0,0.0,0.189,0.378,0.0,0.0
0.89,0.077,0.0,0.0,0.193,0.378,0.0,0.0
0.9,0.079,0.0,0.0,0.197,0.379,0.0,0.0
0.91,0.081,0.0,0.0,0.201,0.379,0.0,0.0
0.92,0.083,0.0,0.0,0.204,0.379,0.0,0.0
0.93,0.085,0.0,0.0,0.208,0.379,0.0,0.0
0.94,0.088,0.0,0.0,0.212,0.379,0.0,0.0
0.95,0.09,0.0,0.0,0.216,0.378,0.0,0.0
0.96,0.092,0.0,0.0,0.22,0.377,0.0,0.0
0.97,0.094,0.0,0.0,0.223,0.377,0.0,0.0
0.98,0.096,0.0,0.0,0.227,0.376,0.0,0.0
0.99,0.098,0.0,0.0,0.231,0.374,0.0,0.0
1.0,0.1,0.0,0.0,0.235,0.373,0.0,0.0
1.01,0.102,0.0,0.0,0.238,0.371,0.0,0.0
1.02,0.104,0.0,0.0,0.242,0.37,0.0,0.0
1.03,0.106,0.0,0.0,0.246,0.368,0.0,0.0
1.04,0.108,0.0,0.0,0.249,0.365,0.0,0.0
1.05,0.11,0.0,0.0,0.253,0.363,0.0,0.0
1.06,0.112,0.0,0.0,0.257,0.361,0.0,0.0
1.07,0.113,0.0,0.0,0.26,0.358,0.0,0.0
1.08,0.115,0.0,0.0,0.264,0.355,0.0,0.0
1.09,0.117,0.0,0.0,0.267,0.352,0.0,0.0
1.1,0.118,0.0,0.0,0.271,0.348,0.0,0.0
1.11,0.12,0.0,0.0,0.274,0.345,0.0,0.0
1.12,0.121,0.0,0.0,0.278,0.341,0.0,0.0
1.13,0.122,0.0,0.0,0.281,0.337,0.0,0.0
1.14,0.123,0.0,0.0,0.284,0.333,0.0,0.0
1.15,0.125,0.0,0.0,0.288,0.328,0.0,0.0
1.16,0.126,0.0,0.0,0.291,0.323,0.0,0.0
1.17,0.127,0.0,0.0,0.294,0.319,0.0,0.0
1.18,0.128,0.0,0.0,0.297,0.314,0.0,0.0
1.19,0.128,0.0,0.0,0.3,0.308,0.0,0.0
1.2,0.129,0.0,0.0,0.304,0.303,0.0,0.0
