time,wave [m],stroke [m],stroke speed [m/s],angle [deg],angular_speed [deg/s],F_PTO [N],Energy [J]
0.0,-0.003,0.0,0.0,0.0,0.0,0.0,0.0
0.01,-0.003,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-0.003,0.0,0.0,0.0,0.0,0.0,0.0
0.03,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
0.04,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
0.05,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
0.06,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
0.07,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
0.08,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
0.09,-0.004,0.0,0.0,0.0,0.0,0.0,0.0
0.1,-0.004,0.0,0.0,0.0,0.0,0.085,0.0
0.11,-0.004,0.0,0.0,0.0,0.0,0.279,0.0
0.12,-0.004,0.0,0.0,0.0,0.0,0.53,0.0
0.13,-0.004,0.0,0.001,0.0,0.0,0.799,0.0
0.14,-0.004,0.0,0.001,0.0,0.0,1.063,0.001
0.15,-0.004,0.0,0.001,0.0,0.0,1.31,0.001
0.16,-0.004,0.0,0.001,0.0,0.0,1.545,0.001
0.17,-0.004,0.0,0.001,0.0,0.0,1.775,0.001
0.18,-0.004,0.0,0.001,0.0,0.0,1.881,0.001
0.19,-0.004,0.0,0.001,0.0,0.0,2.006,0.001
0.2,-0.004,0.0,0.001,0.0,0.0,2.338,0.001
0.21,-0.004,0.0,0.001,0.0,0.0,2.983,0.002
0.22,-0.004,0.0,0.001,0.0,0.0,3.964,0.003
0.23,-0.004,0.0,0.001,0.0,0.0,5.224,0.005
0.24,-0.004,0.0,0.001,0.0,0.0,6.622,0.007
0.25,-0.004,0.0,0.001,0.0,0.0,7.959,0.009
0.26,-0.004,0.0,0.002,0.0,0.0,9.261,0.011
0.27,-0.004,0.0,0.002,0.0,0.0,10.563,0.013
0.28,-0.004,0.0,0.002,0.0,0.0,11.866,0.015
0.29,-0.004,0.0,0.002,0.0,0.0,13.168,0.018
0.3,-0.004,0.0,0.002,0.0,0.0,14.47,0.02
0.31,-0.004,0.0,0.002,0.0,0.0,15.772,0.023
0.32,-0.004,0.0,0.002,0.0,0.0,17.075,0.025
0.33,-0.004,0.0,0.002,0.0,0.0,18.459,0.029
0.34,-0.004,0.0,0.002,0.0,0.0,20.222,0.033
0.35,-0.003,0.0,0.003,0.0,0.0,22.237,0.038
0.36,-0.003,0.0,0.003,0.0,0.0,24.364,0.043
0.37,-0.003,0.0,0.003,0.0,0.0,26.506,0.049
0.38,-0.003,0.0,0.003,0.0,0.0,28.609,0.055
0.39,-0.003,0.0,0.003,0.0,0.0,30.662,0.06
0.4,-0.003,0.0,0.003,0.0,0.0,32.694,0.067
0.41,-0.003,0.001,0.003,0.0,0.0,34.647,0.073
0.42,-0.003,0.001,0.003,0.0,0.0,36.453,0.078
0.43,-0.003,0.001,0.003,0.0,0.0,38.463,0.085
0.44,-0.003,0.001,0.004,0.0,0.0,40.917,0.094
0.45,-0.002,0.001,0.004,0.0,0.0,43.919,0.104
